NAME                                            DISPLAY NAME  DEFAULT CHANNEL
abinitio-runtime-operator                                     release-4.3
aci-containers-operator                                       stable
aic-operator                                                  alpha
airlock-microgateway                                          4.8
aiu-operator                                                  stable-v2.3
amd-gpu-operator                                              alpha
anzo-operator                                                 stable
anzograph-operator                                            stable
anzounstructured-operator                                     stable
app-insights-operator                                         stable
appdynamics-operator                                          alpha
aqua-operator-certified                                       2022.4
cass-operator                                                 stable
cfm-operator                                                  stable
cilium-enterprise                                             1.16
clife                                                         1.17
cloud-native-postgresql                                       fast
cloudera-streams-messaging-kubernetes-operator                stable
cloudnative-pg                                                stable-v1
coherence-operator                                            stable
confluent-for-kubernetes                                      3.1
conjur-follower-operator                                      stable
coroot-operator                                               stable
crunchy-postgres-operator                                     v5
cte-k8s-operator                                              stable
datadog-operator-certified                                    stable
dell-csm-operator-certified                                   stable
digitalai-deploy-operator                                     stable-v24.3
digitalai-release-operator                                    stable-v24.3
dynatrace-operator                                            alpha
eda-k8s-operator                                              alpha
edb-hcp-operator                                              alpha
eginnovations-operator                                        beta
elasticsearch-eck-operator-certified                          stable
falcon-operator                                               certified-1.0
fujitsu-enterprise-postgres-operator                          stable
function-mesh                                                 alpha
gitlab-operator-kubernetes                                    stable
gitlab-runner-operator                                        stable
gpu-operator-certified                                        v25.10
habana-ai-operator                                            stable
harness-gitops-operator                                       alpha
hazelcast-platform-operator                                   alpha
hcp-terraform-operator                                        alpha
hibernation-operator                                          release-0.1
hnas-csi-operator                                             stable
hpe-csi-operator                                              stable
hpe-ezmeral-csi-operator                                      stable
hpe-filex-csi-operator                                        stable
hspc-operator                                                 stable
hulft                                                         stable
ibm-application-gateway-operator                              stable
ibm-data-reporter-operator                                    stable
ibm-metrics-operator                                          stable
ibm-security-verify-access-operator                           stable
infinibox-operator-certified                                  stable
infoscale-dr-manager                                          fast
infoscale-licensing-operator                                  fast
infoscale-sds-operator                                        fast
instana-agent-operator                                        stable
intel-device-plugins-operator                                 alpha
intel-network-operator                                        alpha
ipm-controller                                                stable
k8s-triliovault                                               5.2.x
keysight-loadcore-agents                                      alpha
kubearmor-operator-certified                                  stable
kubeblocks                                                    stable
kubecost-operator                                             stable
kubeturbo-certified                                           stable
kurrentdb-operator                                            stable
lightbits-operator                                            alpha
linstor-operator                                              stable-v2
mariadb-enterprise-operator                                   stable
minio-object-store-operator                                   stable
mongodb-atlas-kubernetes                                      stable
mongodb-enterprise                                            stable
mongodb-kubernetes                                            stable
mto-dependencies-operator                                     alpha
netai-demo-operator                                           alpha
netscaler-adm-agent-operator                                  stable
netscaler-operator                                            stable
neuvector-certified-operator                                  beta
nexus-repository-ha-operator-certified                        stable
nginx-gateway-fabric                                          stable
nginx-ingress-operator                                        alpha
nim-operator-certified                                        stable
nutanixcsioperator                                            stable-3.x
nvidia-maintenance-operator                                   v0.2
nvidia-network-operator                                       stable
nxiq-operator-certified                                       stable
odigos-operator                                               alpha
open-liberty-certified                                        v1.5
openshift-fusion-access-operator                              stable-v1
openshiftartifactoryha-operator                               alpha
operator-certification-operator                               alpha
percona-postgresql-operator-certified                         stable
percona-server-mysql-operator-certified                       stable
percona-xtradb-cluster-operator-certified                     stable
pg4k-pgd                                                      stable
portworx-certified                                            stable
prometurbo-certified                                          stable
pubsubplus-eventbroker-operator                               stable
raftt-operator                                                alpha
rbln-npu-operator                                             stable
redis-enterprise-operator-cert                                production
runtime-component-operator-certified                          v1.5
runtime-fabric-operator                                       stable
scaleops-operator                                             stable-v1.26
splunk-operator                                               stable
sriov-fec                                                     stable
stackable-airflow-operator                                    stable
stackable-commons-operator                                    stable
stackable-druid-operator                                      stable
stackable-hbase-operator                                      stable
stackable-hdfs-operator                                       stable
stackable-hive-operator                                       stable
stackable-kafka-operator                                      stable
stackable-listener-operator                                   stable
stackable-nifi-operator                                       stable
stackable-opa-operator                                        stable
stackable-opensearch-operator                                 stable
stackable-secret-operator                                     stable
stackable-spark-operator                                      stable
stackable-superset-operator                                   stable
stackable-trino-operator                                      stable
stackable-zookeeper-operator                                  stable
stackgres-certified                                           stable
synaxg-operator                                               alpha
t8c-certified                                                 stable
t8c-tsc-client-certified                                      stable
tawon-operator                                                alpha
template-operator                                             release-0.1
tenant-operator                                               release-1.5
tigera-operator                                               release-v1.32
trident-operator                                              stable
tvo-operator                                                  6.0.x
vast-csi-operator                                             stable
vault-secrets-operator                                        stable
vcp-operator                                                  stable
vmstore-csi-driver-operator                                   alpha
xspc-operator                                                 stable
zabbix-operator-certified                                     lts
